index,trans_date_trans_time,cc_num,device_os,merchant,amt,trans_num,unix_time,is_fraud
5381,2023-01-01 00:39:03,2801374844713453,nan,Merchant_85,252.75,TRANS_662964,1672533543,0
4008,2023-01-01 01:16:08,3460245159749480,nan,Merchant_23,340.17,TRANS_134939,1672535768,0
1221,2023-01-01 01:24:28,7308701990157768,macOS,Merchant_70,76.38,TRANS_258923,1672536268,0
9609,2023-01-01 02:06:57,8454886440761098,X11,Merchant_33,368.88,TRANS_226814,1672538817,0
5689,2023-01-01 02:10:54,6350332939133843,nan,Merchant_90,323.32,TRANS_668449,1672539054,0
5884,2023-01-01 03:25:37,3484542925777857,nan,Merchant_31,240.61,TRANS_928137,1672543537,0
7289,2023-01-01 04:01:16,3345927695864539,other,Merchant_79,421.39,TRANS_734478,1672545676,0
8571,2023-01-01 04:58:48,1379131789999976,X11,Merchant_100,194.49,TRANS_570948,1672549128,0
1681,2023-01-01 05:05:17,4471669536183065,X11,Merchant_61,487.83,TRANS_691053,1672549517,0
8532,2023-01-01 06:28:49,1194609277713326,nan,Merchant_70,278.97,TRANS_409960,1672554529,0
6513,2023-01-01 06:45:42,9610377483788436,Windows,Merchant_75,399.74,TRANS_376177,1672555542,0
7963,2023-01-01 06:48:13,8814696635815205,nan,Merchant_21,234.76,TRANS_743302,1672555693,0
5733,2023-01-01 06:50:10,9584208184125852,nan,Merchant_97,269.1,TRANS_558976,1672555810,0
8662,2023-01-01 08:31:27,1468566283251822,nan,Merchant_33,18.77,TRANS_901856,1672561887,0
4727,2023-01-01 08:48:26,3279298052273240,nan,Merchant_34,422.1,TRANS_691660,1672562906,0
3365,2023-01-01 09:03:37,3027985595749481,other,Merchant_48,318.55,TRANS_959732,1672563817,0
5640,2023-01-01 09:29:33,2923383360836086,nan,Merchant_64,286.81,TRANS_105572,1672565373,0
9155,2023-01-01 09:30:48,1055239176034803,other,Merchant_18,63.94,TRANS_334139,1672565448,0
7562,2023-01-01 11:35:44,3048628034282915,other,Merchant_99,57.58,TRANS_418504,1672572944,0
9426,2023-01-01 13:38:27,8442940279633349,nan,Merchant_97,143.42,TRANS_584985,1672580307,0
5040,2023-01-01 16:00:00,4981212880039478,macOS,Merchant_54,381.34,TRANS_166165,1672588800,0
8279,2023-01-01 16:54:34,8608942384519778,nan,Merchant_83,14.2,TRANS_768703,1672592074,0
4540,2023-01-01 19:38:48,1263800267123995,nan,Merchant_10,86.74,TRANS_222448,1672601928,0
5406,2023-01-01 20:02:55,6571913445142341,X11,Merchant_33,483.34,TRANS_237601,1672603375,0
1847,2023-01-01 20:32:24,3374710723634543,other,Merchant_53,99.54,TRANS_452567,1672605144,0
7478,2023-01-01 22:34:52,5754432440992863,nan,Merchant_61,435.9,TRANS_984883,1672612492,0
1210,2023-01-01 22:36:25,5152493336974002,other,Merchant_57,213.66,TRANS_513482,1672612585,0
797,2023-01-02 00:19:29,3837891589584820,other,Merchant_66,283.0,TRANS_591425,1672618769,0
7555,2023-01-02 01:00:22,7975492751906479,other,Merchant_44,225.35,TRANS_556344,1672621222,0
