cc_num,first,last,gender,street,city,zip,job,dob
2468117351683689,Jane,Clark,M,1st Ave,Los Angeles,14540.0,Lawyer,1992-12-07
7312796986089604,Alice,Johnson,F,Elm St,Houston,24562.0,Clerk,1969-09-29
8219705739824918,Bob,Clark,M,1st Ave,Phoenix,60521.0,Doctor,2002-12-20
9983622937436029,Jane,Johnson,F,2nd Ave,Phoenix,71277.0,Teacher,1970-03-13
5847400826403727,Bob,Johnson,M,Maple St,Los Angeles,69097.0,Engineer,1986-08-20
6126632551643074,Emily,Johnson,M,Main St,Houston,82356.0,Nurse,1967-12-26
2801374844713453,Jane,Smith,F,1st Ave,Chicago,,,2002-10-12
5720410738413993,Emily,Clark,F,Elm St,Los Angeles,31554.0,Teacher,1975-02-12
5759528691173043,Nancy,Williams,F,2nd Ave,Chicago,86148.0,Clerk,1964-12-26
9176521297121230,Nancy,Davis,M,Broadway,New York,37305.0,Nurse,1978-09-30
7375843319033803,Bob,Johnson,M,Broadway,Chicago,39640.0,Teacher,1977-06-10
2047360634136339,John,Smith,M,Maple St,Los Angeles,51437.0,Lawyer,1968-09-03
4217166742735358,Joe,Brown,M,2nd Ave,Houston,12291.0,Engineer,1991-03-02
6874874542906521,John,Johnson,F,Maple St,Chicago,64828.0,Lawyer,1981-12-03
5743724779323932,Jane,Wilson,F,Broadway,New York,31206.0,Clerk,1969-07-27
9654872472567215,John,Brown,F,Elm St,Houston,54899.0,Doctor,1986-12-04
6993579738258838,Mike,Brown,F,Maple St,Phoenix,22695.0,Artist,1981-05-09
8630555527883372,Emily,Jones,M,Main St,Phoenix,83118.0,Engineer,1970-09-17
4670281932713873,Bob,Smith,M,Maple St,Houston,94020.0,Doctor,1956-10-26
8440232517975683,Jane,Smith,F,2nd Ave,Los Angeles,47929.0,Nurse,1995-09-16
5283666535001058,Emily,Clark,F,Main St,Chicago,87415.0,Teacher,1965-03-22
8234212817097551,John,Johnson,F,Main St,Chicago,58289.0,Teacher,1980-04-01
2795820813047956,Jane,Clark,F,2nd Ave,Houston,11350.0,Clerk,1983-09-27
8186428431838732,Joe,Clark,F,1st Ave,Chicago,93409.0,Clerk,1957-08-18
5907673211065893,Mike,Johnson,M,Elm St,Phoenix,54597.0,Engineer,1986-10-06
4190774759011013,Joe,Johnson,M,2nd Ave,Houston,45635.0,Artist,1969-12-15
6997559541615605,Jane,Clark,M,Elm St,Chicago,62717.0,Artist,1989-08-27
9953660435726429,Joe,Wilson,M,Main St,New York,57628.0,Teacher,1994-11-25
2817868126442547,Joe,Smith,F,Main St,Los Angeles,68817.0,Teacher,1955-10-11
8060511762642782,Jane,Brown,F,1st Ave,New York,36223.0,Doctor,1996-07-08
7665762872999898,Nancy,Brown,M,Main St,New York,60174.0,Lawyer,1957-07-24
6181243869749533,Joe,Johnson,F,2nd Ave,Chicago,58183.0,Teacher,1969-05-07
8620383969286195,Nancy,Brown,M,Elm St,Houston,31607.0,Doctor,1991-03-19
5609314010487205,Emily,Johnson,F,1st Ave,Phoenix,20414.0,Clerk,1999-12-13
5700571374994535,Alice,Davis,M,Maple St,Houston,75484.0,Lawyer,1991-03-08
1899808323479476,Alice,Williams,F,2nd Ave,Chicago,55377.0,Teacher,2002-12-31
2661147954578566,Alice,Brown,F,Elm St,Chicago,84819.0,Engineer,1981-04-02
3027985595749481,Alice,Davis,M,Elm St,Phoenix,64796.0,Engineer,1967-09-17
7114656218609078,Joe,Smith,F,Broadway,New York,28763.0,Engineer,1965-03-24
5592459586783938,Bob,Davis,M,Broadway,New York,56752.0,Nurse,1964-01-07
2614458865063690,Mike,Jones,M,2nd Ave,Houston,23989.0,Engineer,2000-02-09
6490495945119107,Nancy,Davis,F,1st Ave,Los Angeles,83002.0,Teacher,1972-02-07
1379606186864305,Jane,Davis,M,Elm St,Chicago,25201.0,Teacher,1960-08-12
2823728314429617,Joe,Davis,F,Elm St,Phoenix,86842.0,Artist,2005-01-25
9533648492502861,Nancy,Clark,F,2nd Ave,Houston,41560.0,Engineer,1960-04-21
6359899219763817,Emily,Wilson,F,1st Ave,Phoenix,73686.0,Artist,1958-02-13
2884670678063884,Mike,Smith,F,Maple St,New York,97683.0,Engineer,1970-03-19
6842210383335174,Jane,Clark,F,Main St,New York,43257.0,Doctor,1970-07-18
4374550567274595,Emily,Smith,M,Maple St,Houston,28975.0,Lawyer,1982-07-02
3995222018549835,Alice,Jones,F,1st Ave,Los Angeles,,,1970-04-07
2571293851265563,Bob,Johnson,M,Main St,New York,91955.0,Doctor,1964-05-24
7825159669656221,Jane,Clark,M,Elm St,Phoenix,60457.0,Teacher,1999-01-10
5945200268232448,Jane,Brown,F,Broadway,Chicago,50597.0,Engineer,1987-03-27
7722576976746866,John,Smith,M,Broadway,Chicago,45466.0,Doctor,1975-09-01
3256118650539243,Bob,Brown,F,2nd Ave,Los Angeles,29224.0,Clerk,1999-01-31
6705915894177882,Bob,Wilson,M,Maple St,Houston,82526.0,Doctor,1983-08-25
3370594491936288,Joe,Jones,M,1st Ave,Los Angeles,67516.0,Clerk,1972-03-31
4977764258366465,Bob,Davis,M,1st Ave,Phoenix,19891.0,Lawyer,2001-04-17
8878432890524298,Joe,Jones,M,Main St,Los Angeles,74101.0,Teacher,1957-09-06
1724820482737953,Mike,Wilson,F,2nd Ave,Chicago,38961.0,Lawyer,1990-06-15
3075507544386687,Joe,Brown,M,1st Ave,New York,32815.0,Lawyer,1966-11-15
3196223785287279,Joe,Brown,F,2nd Ave,New York,62325.0,Clerk,1977-01-21
4303219970471381,Alice,Wilson,M,Main St,Houston,28882.0,Artist,1984-09-26
1684979954857890,John,Jones,F,Maple St,Phoenix,52995.0,Artist,1959-04-09
1217225462219229,Mike,Johnson,M,Elm St,Houston,87754.0,Lawyer,1970-09-13
8894287466909439,Joe,Brown,F,2nd Ave,Los Angeles,26504.0,Teacher,1988-09-24
4417687621099975,Emily,Wilson,F,Broadway,Los Angeles,27464.0,Engineer,1959-10-16
4179692415914980,Alice,Williams,F,Elm St,Los Angeles,44204.0,Lawyer,1959-02-26
3609566622776991,Nancy,Davis,F,1st Ave,Phoenix,73048.0,Nurse,1984-07-26
4599980840728872,Jane,Wilson,F,Maple St,New York,51812.0,Teacher,1959-04-10
4981212880039478,Joe,Wilson,F,Main St,Chicago,99030.0,Doctor,2005-06-27
3013328936658868,Joe,Williams,M,Main St,Chicago,21182.0,Doctor,1994-06-01
4589811631027476,John,Brown,M,Broadway,Los Angeles,99385.0,Teacher,1994-05-04
7145604638895575,Joe,Smith,F,2nd Ave,Los Angeles,65306.0,Clerk,1957-08-20
1886884028307703,Mike,Jones,F,Broadway,Los Angeles,21254.0,Doctor,1960-12-19
7649278990724637,John,Johnson,M,2nd Ave,Phoenix,79177.0,Teacher,1971-03-15
8996687321011669,Alice,Williams,F,Broadway,Chicago,32881.0,Engineer,1972-02-14
7130465082112317,Emily,Williams,M,Broadway,Houston,52957.0,Artist,1978-12-25
5507317956865447,Emily,Smith,F,Main St,New York,13823.0,Artist,1967-03-20
2643137074075145,Mike,Brown,F,2nd Ave,Houston,40805.0,Teacher,1985-01-31
5065274732152345,Nancy,Smith,M,Broadway,New York,77480.0,Engineer,1991-12-16
8152970450982536,Emily,Johnson,F,Maple St,Phoenix,41846.0,Teacher,1985-09-29
6173599782932050,Mike,Brown,M,Maple St,New York,73301.0,Lawyer,1973-12-09
2642302152966994,John,Williams,F,1st Ave,Phoenix,81981.0,Nurse,1961-05-10
9879660330733643,Jane,Williams,F,Maple St,Chicago,39743.0,Engineer,2002-08-23
9950241532414227,Jane,Wilson,F,Maple St,New York,74233.0,Nurse,1988-09-20
9642357869662348,Jane,Jones,M,Maple St,Los Angeles,47909.0,Clerk,2004-11-22
4230825777157346,Alice,Johnson,F,Main St,Los Angeles,83551.0,Doctor,1992-08-03
8248577492453139,John,Wilson,M,Main St,Phoenix,90046.0,Engineer,1959-04-21
8240551617771676,Joe,Wilson,M,Main St,Chicago,48897.0,Doctor,1977-11-16
8926858464803278,Emily,Williams,M,Main St,Phoenix,22017.0,Lawyer,1981-11-13
8565533170763137,Alice,Smith,M,Broadway,Houston,34592.0,Clerk,1959-07-24
3535496097775147,Alice,Williams,F,Maple St,Houston,62994.0,Clerk,1972-10-14
3853924262812167,Emily,Smith,M,Broadway,Houston,12443.0,Artist,1996-04-08
8762870739564985,Jane,Smith,M,Maple St,Los Angeles,55765.0,Lawyer,2005-03-16
9922595038828091,Jane,Davis,F,Main St,Houston,13147.0,Clerk,1996-07-30
9708929633047813,Jane,Davis,F,Broadway,New York,83930.0,Engineer,1956-09-06
9522467417587573,Nancy,Wilson,F,Broadway,Houston,18424.0,Engineer,1993-11-11
5486850555576402,Emily,Davis,F,2nd Ave,Los Angeles,55726.0,Nurse,1971-01-28
7062417133234802,John,Brown,M,1st Ave,New York,56194.0,Doctor,2004-04-02
9355856681663424,John,Brown,M,2nd Ave,Chicago,55825.0,Nurse,1956-07-04
5516442848951216,Emily,Wilson,M,Elm St,Phoenix,28156.0,Engineer,2001-12-24
5078442582017997,Jane,Williams,F,2nd Ave,Phoenix,42863.0,Artist,1964-11-22
9324980557371715,Alice,Williams,F,1st Ave,New York,88463.0,Nurse,1958-02-26
6595820336089781,John,Smith,M,1st Ave,New York,,,1969-02-09
8454886440761098,Mike,Brown,F,2nd Ave,Phoenix,34323.0,Teacher,1965-04-21
3345927695864539,Alice,Wilson,M,Maple St,Phoenix,30373.0,Doctor,1980-12-30
2940396818286852,Emily,Williams,F,2nd Ave,New York,72797.0,Lawyer,1956-06-04
1184930649691583,Joe,Brown,F,Maple St,Phoenix,20212.0,Lawyer,2000-11-13
3658335989258275,Alice,Johnson,F,Elm St,Chicago,57452.0,Nurse,1996-02-15
5175214580807676,Nancy,Smith,M,Maple St,Houston,70914.0,Artist,1968-11-24
4399781539604622,Bob,Davis,F,Main St,Houston,36799.0,Lawyer,1995-07-05
9960500199181567,John,Wilson,F,1st Ave,Chicago,17877.0,Teacher,1985-11-09
7096992961511116,Nancy,Brown,M,Main St,Houston,44860.0,Teacher,1991-02-02
3037141694723776,Mike,Williams,M,Maple St,Houston,81034.0,Nurse,1980-10-22
5235189785111382,John,Wilson,M,Elm St,Houston,61036.0,Lawyer,1978-01-09
7226611618681468,Nancy,Wilson,F,Broadway,Los Angeles,80537.0,Lawyer,1989-12-26
7062465154578564,Alice,Clark,F,Broadway,Chicago,63677.0,Clerk,1979-12-02
3114833527098902,Emily,Clark,M,Maple St,Phoenix,84403.0,Clerk,1964-07-13
3138258712027404,John,Smith,F,Main St,New York,44401.0,Engineer,1969-08-06
6990594561276063,Alice,Jones,M,2nd Ave,Chicago,19522.0,Nurse,1960-09-10
5602343566482804,Mike,Smith,F,1st Ave,Chicago,53935.0,Engineer,1961-04-12
5469835963135361,Alice,Johnson,F,Main St,Los Angeles,24751.0,Teacher,1987-08-28
3974869953136181,Nancy,Smith,F,2nd Ave,Los Angeles,76802.0,Artist,1982-07-09
1370655398616679,Emily,Clark,M,Elm St,Houston,89502.0,Nurse,1969-03-16
9072806671954412,Jane,Clark,M,2nd Ave,Los Angeles,75672.0,Artist,1986-06-03
6104744647432099,Emily,Davis,F,Elm St,Phoenix,97097.0,Engineer,1968-08-02
5079509814473311,Alice,Davis,M,Main St,Phoenix,84659.0,Artist,1980-07-28
7824308251632226,Jane,Brown,M,Broadway,Houston,49692.0,Teacher,1955-11-07
6565856837464655,Mike,Brown,F,Maple St,Los Angeles,18360.0,Artist,1968-10-17
6525984970382397,Mike,Williams,F,1st Ave,Houston,57723.0,Lawyer,2004-12-03
5604743620825273,Alice,Williams,M,Main St,New York,30889.0,Nurse,2005-01-30
1078594386886355,Jane,Smith,M,Broadway,Los Angeles,99975.0,Engineer,1971-09-04
6715685094256252,Joe,Davis,F,Elm St,Los Angeles,,,1964-01-01
2317809293415808,Alice,Smith,F,1st Ave,Los Angeles,84283.0,Artist,1996-09-16
5052353373161446,Joe,Wilson,F,2nd Ave,Los Angeles,67941.0,Artist,1987-10-20
2625995315982576,Nancy,Davis,F,Main St,Phoenix,86573.0,Doctor,1961-03-25
9529422170838008,Joe,Wilson,F,2nd Ave,Houston,65884.0,Artist,1975-09-28
7966357354272468,Mike,Smith,M,1st Ave,Phoenix,38895.0,Lawyer,1964-05-25
8870220784742643,Joe,Brown,M,Main St,Houston,63156.0,Artist,1971-10-12
7106171954817091,Jane,Clark,M,Main St,New York,35401.0,Engineer,1985-05-03
2577458893148050,Bob,Brown,M,Maple St,Los Angeles,36274.0,Engineer,1985-12-23
6456820738894681,Bob,Jones,M,2nd Ave,Chicago,,,1963-01-07
3111893892436288,Mike,Clark,F,2nd Ave,Phoenix,11531.0,Clerk,1984-08-06
5668396543971801,Emily,Jones,F,Broadway,Chicago,10243.0,Clerk,1959-08-13
3866200794466821,Jane,Jones,F,Maple St,New York,91954.0,Clerk,1981-01-13
5491563353191361,Joe,Williams,F,2nd Ave,Chicago,84918.0,Doctor,1997-12-30
4389433074739510,Alice,Brown,M,Elm St,New York,33813.0,Lawyer,1965-06-13
9578530448361640,Emily,Smith,M,Broadway,Phoenix,15453.0,Lawyer,1957-12-17
3517624483828049,Emily,Smith,M,2nd Ave,New York,56144.0,Clerk,1977-11-06
2342434866334939,Nancy,Jones,F,Main St,Phoenix,97149.0,Clerk,1999-05-17
7169962163186267,Mike,Williams,M,2nd Ave,Phoenix,88676.0,Nurse,1998-04-29
8711179386534323,Mike,Williams,F,Maple St,Chicago,37034.0,Nurse,1978-12-18
8622477982722059,John,Jones,F,1st Ave,Houston,51941.0,Nurse,1959-05-20
9413292041933773,Emily,Clark,M,Broadway,Houston,10008.0,Doctor,1987-03-28
3279298052273240,Emily,Smith,F,Main St,Houston,15001.0,Clerk,2002-01-15
2046819720795596,Nancy,Williams,M,2nd Ave,Los Angeles,95173.0,Nurse,1980-08-24
2996996322604617,Alice,Davis,M,1st Ave,Chicago,79239.0,Doctor,1967-08-07
2619248636979924,Alice,Davis,F,Broadway,New York,91201.0,Doctor,1975-12-29
5066714465532169,Bob,Johnson,F,Broadway,Houston,42880.0,Teacher,1955-08-28
8608942384519778,John,Davis,F,Broadway,Chicago,35517.0,Nurse,2001-02-13
7606386997793953,Emily,Jones,M,Main St,Los Angeles,11342.0,Nurse,1955-07-02
4983992816284718,Alice,Smith,M,2nd Ave,Chicago,43533.0,Lawyer,1970-08-11
1082317874685593,Emily,Johnson,M,Main St,New York,96246.0,Nurse,1959-09-07
5689214937905290,Joe,Brown,M,Elm St,Houston,56559.0,Doctor,1989-05-25
4735412141347653,Alice,Smith,F,2nd Ave,New York,99022.0,Clerk,1982-12-29
9832545830589359,Nancy,Wilson,F,Elm St,Los Angeles,55567.0,Nurse,1969-04-20
6726872814611978,Bob,Johnson,F,2nd Ave,New York,10679.0,Engineer,2006-02-01
7853635243145573,John,Brown,M,Broadway,Los Angeles,49867.0,Lawyer,1994-10-30
7875519768769935,John,Williams,M,Main St,New York,89538.0,Artist,1978-11-05
3059290990944727,Jane,Clark,M,Elm St,Los Angeles,56980.0,Engineer,1976-12-19
3892918951589889,Emily,Smith,F,Broadway,Chicago,69806.0,Doctor,2002-04-21
8201147363782621,Nancy,Smith,F,Broadway,Chicago,44862.0,Engineer,1978-11-14
5434392624895445,Mike,Williams,M,Maple St,Chicago,17309.0,Artist,1997-12-04
4183248211045301,Jane,Smith,F,Elm St,Chicago,89640.0,Doctor,1983-09-05
5884970060828187,John,Clark,M,2nd Ave,New York,19300.0,Lawyer,1959-03-19
2779982782632545,Emily,Jones,M,Elm St,Phoenix,12140.0,Artist,1964-04-23
6016996448475856,Bob,Wilson,F,Main St,Los Angeles,95421.0,Teacher,2005-08-12
4122315173475976,Joe,Johnson,M,1st Ave,Los Angeles,21692.0,Engineer,1977-01-11
2980147560808381,Jane,Brown,M,2nd Ave,Phoenix,15683.0,Lawyer,1988-07-18
6043914128567345,Bob,Brown,F,Broadway,Los Angeles,84622.0,Teacher,1968-10-26
9989579760163263,John,Johnson,F,Maple St,Los Angeles,63365.0,Doctor,1998-05-11
4920577175372430,Emily,Jones,M,Elm St,Chicago,57080.0,Doctor,1965-01-17
3265698529432098,Bob,Smith,M,Maple St,Los Angeles,79788.0,Teacher,1983-09-10
1712118452952845,Jane,Williams,F,Maple St,Los Angeles,79040.0,Artist,2002-06-17
1717402167435728,John,Williams,F,1st Ave,Houston,17360.0,Artist,1998-05-23
2039292288533304,John,Wilson,M,Maple St,Los Angeles,21871.0,Lawyer,1962-01-14
8971211225325405,Jane,Smith,M,Elm St,Phoenix,11859.0,Clerk,1957-06-14
7908709590511401,Emily,Davis,F,1st Ave,Los Angeles,61198.0,Teacher,1996-04-03
8788888116037393,Mike,Brown,M,2nd Ave,Phoenix,29130.0,Engineer,1991-11-11
3220561957909680,Jane,Johnson,M,Elm St,Los Angeles,17399.0,Teacher,1971-11-07
9191282011058666,Jane,Johnson,F,Elm St,Phoenix,74589.0,Nurse,1983-02-19
9953425339818617,Emily,Brown,M,1st Ave,Los Angeles,80009.0,Engineer,1982-12-17
5552705659737069,Alice,Clark,F,Main St,Los Angeles,95683.0,Lawyer,2002-03-07
1948382554595612,John,Johnson,F,Maple St,Houston,56327.0,Clerk,1968-08-11
3612846337268390,Alice,Brown,M,Broadway,Houston,54877.0,Clerk,1994-08-27
4031647356924302,Alice,Clark,F,1st Ave,Los Angeles,50693.0,Engineer,1999-08-15
9021629682582227,Alice,Jones,F,Maple St,Houston,55567.0,Doctor,2006-09-05
4320940370598638,Bob,Smith,F,Elm St,New York,94609.0,Doctor,1963-12-22
4891898046162335,Nancy,Brown,M,1st Ave,New York,11044.0,Doctor,1987-08-14
4090610615501003,Jane,Jones,F,1st Ave,Chicago,14892.0,Clerk,1982-09-30
2609818459278771,Alice,Brown,M,Elm St,Chicago,68443.0,Engineer,1981-03-20
5632194182178053,Bob,Jones,F,Elm St,New York,72801.0,Clerk,2000-02-23
2098951072455085,Bob,Jones,F,Main St,Chicago,73909.0,Doctor,2001-01-07
6680709859321007,Nancy,Jones,F,Main St,Los Angeles,50936.0,Artist,1986-12-30
4189759174939390,John,Wilson,F,Main St,Los Angeles,34223.0,Artist,1963-05-01
4619787349754203,Jane,Smith,F,Maple St,Chicago,64952.0,Lawyer,1997-03-22
7434166958884383,Emily,Wilson,M,Elm St,New York,68133.0,Lawyer,1992-12-19
